ind	id	d_omega	d_visual	rounds	evaluations	failed evals	duration	inf. n	inf. t0	inf. t1	inf. t2	inf. t3	inf. t4	inf. t5	inf. t6	inf. M0	inf. M1	inf. M2	inf. M3	inf. M4	inf. M5	inf. M6	inf. s0	inf. s1	inf. s2	inf. s3	inf. s4	inf. s5	inf. s6	inf. N_ref	source filename
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	1	607594	420819	50	11424994	0	793.771	11	0	5004.19	29858.3	43380	100177	139834	381646	42.7891	0.237583	0.789555	5.73628	0.561994	0.17362	7.0976	1	1	1	1	1	1	1	969.465	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	2	589316	231507	50	11440610	0	1588.37	14	0	4876.82	27484.2	36380.4	109730	153001	285703	37.2704	0.240783	0.437523	3.62687	0.53778	0.152075	0.19976	1	1	1	1	1	1	1	754.416	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	3	575828	338813	50	11422978	0	2387	12	0	4533.03	29919.9	43389.9	85645.1	129531	390141	48.2549	0.220553	0.704842	4.53023	1.1633	0.16194	0.591858	1	1	1	1	1	1	1	828.996	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	4	576117	221821	50	11437106	0	3186.56	12	0	4897.97	29901.3	43431.4	82430.7	129385	387488	48.1005	0.233947	0.760684	6.49347	1.42219	0.172329	0.291513	1	1	1	1	1	1	1	870.746	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	5	593625	218250	50	11431570	0	3986.41	13	0	4800.08	29965.5	43422.7	118270	189279	398237	35.2799	0.213899	0.674887	4.55132	0.214711	0.13634	0.262754	1	1	1	1	1	1	1	742.342	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	6	618959	427800	50	11440418	0	4792.07	14	0	4931.74	29994.2	43437.5	96796.7	119730	388747	45.6505	0.236826	0.780314	5.92679	0.814937	0.173598	2.67224	1	1	1	1	1	1	1	744.446	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	7	563339	290836	50	11434594	0	5599.59	13	0	4660.82	29970.6	43309.8	93549.9	130056	399407	49.6438	0.207393	0.64556	2.84765	0.734227	0.152299	0.395073	1	1	1	1	1	1	1	723.009	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	8	585294	419359	50	11430786	0	6404.91	11	0	4720.1	29863.2	43399	93344.9	139473	397697	39.8342	0.22204	0.71414	5.22302	0.785015	0.154453	4.85518	1	1	1	1	1	1	1	917.907	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	9	613745	227473	50	11432354	0	7204.25	15	0	5046.33	30037.6	43483.4	86059.1	139752	392847	49.5039	0.269527	0.965381	10.7837	1.25466	0.19593	0.346504	1	1	1	1	1	1	1	765.47	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A911_Kidongo	10	612304	286900	50	11402706	0	8001.35	13	0	5182.89	29959.4	41444.6	93500.9	130249	392523	43.745	0.22873	0.741257	5.8407	0.672279	0.167926	0.425918	1	1	1	1	1	1	1	783.183	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A911_Kidongo.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	1	592538	193776	50	11451650	0	797.765	10	0	4214.57	28715.2	41842.3	90657.1	134625	374065	46.9903	0.22945	0.673909	4.44765	0.910029	0.179927	0.249111	1	1	1	1	1	1	1	1065.13	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	2	621615	237909	50	11436610	0	1595.7	9	0	4437.57	28663.8	41740.1	80700.6	124645	391275	5.91335	0.199258	0.560362	2.74657	1.74783	0.157392	0.240561	1	1	1	1	1	1	1	1068.54	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	3	632609	213168	50	11446242	0	2394.3	13	0	5168.41	28891.3	41929.6	96048.4	135216	399887	9.40103	0.214849	0.611338	4.16284	1.2272	0.168973	0.25142	1	1	1	1	1	1	1	757.649	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	4	612561	249809	50	11442162	0	3195.98	11	0	4312.78	28738.3	41970.4	90572.1	135248	399100	46.9078	0.234821	0.670794	7.95695	0.741401	0.183985	0.369773	1	1	1	1	1	1	1	976.798	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	5	664704	373060	50	11428738	0	3996.76	12	0	4763.92	28826.2	42012.8	93366.3	125720	399446	4.75278	0.266709	0.834145	14.5069	1.29126	0.20776	1.67668	1	1	1	1	1	1	1	982.658	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	6	618568	230623	50	11422850	0	4796.87	11	0	4574.54	28767.5	42021.1	97150.9	135476	310788	49.0519	0.271005	0.855656	18.666	0.819331	0.18591	0.23111	1	1	1	1	1	1	1	1094.45	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	7	620973	234915	50	11450162	0	5599.1	8	0	3973.48	28544.2	41915.3	92931.2	146676	292460	6.63674	0.209293	0.599977	5.95749	0.649209	0.140364	0.168095	1	1	1	1	1	1	1	1271.68	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	8	641331	202577	50	11452306	0	6402.25	9	0	4167.59	28617.5	41940.5	96446	146677	374378	49.0492	0.254126	0.793125	9.92019	0.857726	0.169765	0.274945	1	1	1	1	1	1	1	1305.79	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	9	651363	346409	50	11425970	0	7205.5	9	0	4126.01	28615.9	41998.8	105692	157850	399062	49.7211	0.248267	0.756131	14.3912	0.484639	0.165392	1.21973	1	1	1	1	1	1	1	1277.07	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
c07YN_dA_w050_SQ_c7eb2_A912_Nakuu	10	623708	250235	50	11450290	0	8009.21	13	0	4953.07	28901.4	41898.6	97571.7	135921	396311	47.7236	0.243065	0.745241	4.78859	0.673427	0.184477	0.201507	1	1	1	1	1	1	1	837.222	/ifs/igc/folders/PCG/csteux/data/gape-psmc/FINAL_CLEAN_Pan_troglodytes_schweinfurthii-A912_Nakuu.psmc
